INFO 2025-06-14 22:07:50,816 subscription_middleware 509 281473439156824 Запрос к 'schema' разрешен без аутентификации/подписки (по белому списку).
DEBUG 2025-06-14 22:07:51,753 subscription_middleware 509 281473439156824 Получен запрос для пути: /api/docs
DEBUG 2025-06-14 22:07:51,754 subscription_middleware 509 281473439156824 Для пути '/api/docs' разрешено имя URL: 'swagger-ui'
DEBUG 2025-06-14 22:07:51,755 subscription_middleware 509 281473439156824 Имя URL 'swagger-ui' совпало с точным паттерном 'swagger-ui'.
INFO 2025-06-14 22:07:51,755 subscription_middleware 509 281473439156824 Запрос к 'swagger-ui' разрешен без аутентификации/подписки (по белому списку).
DEBUG 2025-06-14 22:07:51,829 subscription_middleware 509 281473439156824 Получен запрос для пути: /api/schema/
DEBUG 2025-06-14 22:07:51,829 subscription_middleware 509 281473439156824 Для пути '/api/schema/' разрешено имя URL: 'schema'
DEBUG 2025-06-14 22:07:51,829 subscription_middleware 509 281473439156824 Имя URL 'schema' совпало с точным паттерном 'schema'.
INFO 2025-06-14 22:07:51,830 subscription_middleware 509 281473439156824 Запрос к 'schema' разрешен без аутентификации/подписки (по белому списку).
DEBUG 2025-06-14 22:07:51,877 subscription_middleware 509 281473439156824 Получен запрос для пути: /api/schema/
DEBUG 2025-06-14 22:07:51,878 subscription_middleware 509 281473439156824 Для пути '/api/schema/' разрешено имя URL: 'schema'
DEBUG 2025-06-14 22:07:51,878 subscription_middleware 509 281473439156824 Имя URL 'schema' совпало с точным паттерном 'schema'.
INFO 2025-06-14 22:07:51,878 subscription_middleware 509 281473439156824 Запрос к 'schema' разрешен без аутентификации/подписки (по белому списку).
INFO 2025-06-14 22:08:22,620 subscription_middleware 512 281473686293176 SubscriptionMiddleware инициализирован.
DEBUG 2025-06-14 22:08:25,704 subscription_middleware 512 281473658624600 Получен запрос для пути: /api/docs
DEBUG 2025-06-14 22:08:25,710 subscription_middleware 512 281473658624600 Для пути '/api/docs' разрешено имя URL: 'swagger-ui'
DEBUG 2025-06-14 22:08:25,711 subscription_middleware 512 281473658624600 Имя URL 'swagger-ui' совпало с точным паттерном 'swagger-ui'.
INFO 2025-06-14 22:08:25,713 subscription_middleware 512 281473658624600 Запрос к 'swagger-ui' разрешен без аутентификации/подписки (по белому списку).
DEBUG 2025-06-14 22:08:25,825 subscription_middleware 512 281473658624600 Получен запрос для пути: /api/schema/
DEBUG 2025-06-14 22:08:25,825 subscription_middleware 512 281473658624600 Для пути '/api/schema/' разрешено имя URL: 'schema'
DEBUG 2025-06-14 22:08:25,825 subscription_middleware 512 281473658624600 Имя URL 'schema' совпало с точным паттерном 'schema'.
INFO 2025-06-14 22:08:25,825 subscription_middleware 512 281473658624600 Запрос к 'schema' разрешен без аутентификации/подписки (по белому списку).
INFO 2025-06-14 22:22:19,458 subscription_middleware 515 281473334299320 SubscriptionMiddleware инициализирован.
INFO 2025-06-14 22:22:57,653 subscription_middleware 529 281473234619064 SubscriptionMiddleware инициализирован.
INFO 2025-06-14 22:30:54,972 subscription_middleware 633 281473226246840 SubscriptionMiddleware инициализирован.
INFO 2025-06-14 22:31:21,398 subscription_middleware 635 281472837323448 SubscriptionMiddleware инициализирован.
INFO 2025-06-14 22:36:45,983 subscription_middleware 659 281473023822520 SubscriptionMiddleware инициализирован.
INFO 2025-06-14 22:36:52,488 subscription_middleware 661 281473603590840 SubscriptionMiddleware инициализирован.
INFO 2025-06-14 22:36:59,233 subscription_middleware 663 281473424964280 SubscriptionMiddleware инициализирован.
INFO 2025-06-14 22:37:01,697 subscription_middleware 665 281473186683576 SubscriptionMiddleware инициализирован.
INFO 2025-06-14 22:39:49,284 subscription_middleware 671 281473680218808 SubscriptionMiddleware инициализирован.
INFO 2025-06-14 22:40:28,025 subscription_middleware 673 281473491802808 SubscriptionMiddleware инициализирован.
INFO 2025-06-14 22:40:35,640 subscription_middleware 675 281473552255672 SubscriptionMiddleware инициализирован.
INFO 2025-06-14 22:40:43,409 subscription_middleware 677 281473056934584 SubscriptionMiddleware инициализирован.
INFO 2025-06-14 22:40:48,969 subscription_middleware 679 281472921225912 SubscriptionMiddleware инициализирован.
DEBUG 2025-06-14 22:41:02,246 subscription_middleware 679 281472894319192 Получен запрос для пути: /api/docs
DEBUG 2025-06-14 22:41:02,249 subscription_middleware 679 281472894319192 Для пути '/api/docs' разрешено имя URL: 'swagger-ui'
DEBUG 2025-06-14 22:41:02,249 subscription_middleware 679 281472894319192 Имя URL 'swagger-ui' совпало с точным паттерном 'swagger-ui'.
INFO 2025-06-14 22:41:02,249 subscription_middleware 679 281472894319192 Запрос к 'swagger-ui' разрешен без аутентификации/подписки (по белому списку).
DEBUG 2025-06-14 22:41:02,395 subscription_middleware 679 281472894319192 Получен запрос для пути: /api/schema/
DEBUG 2025-06-14 22:41:02,402 subscription_middleware 679 281472894319192 Для пути '/api/schema/' разрешено имя URL: 'schema'
DEBUG 2025-06-14 22:41:02,404 subscription_middleware 679 281472894319192 Имя URL 'schema' совпало с точным паттерном 'schema'.
INFO 2025-06-14 22:41:02,406 subscription_middleware 679 281472894319192 Запрос к 'schema' разрешен без аутентификации/подписки (по белому списку).
INFO 2025-06-14 22:41:45,120 subscription_middleware 682 281473719900856 SubscriptionMiddleware инициализирован.
INFO 2025-06-14 22:42:40,550 subscription_middleware 684 281473096411832 SubscriptionMiddleware инициализирован.
